lat,lon,amenity,cuisine,fvst:navnelbnr,name,opening_hours,phone,website,wheelchair,payment:credit_cards,toilets,fvst:name,facebook,outdoor_seating,takeaway,dinner,lunch,reservation,capacity,note,opening_hours:kitchen,alt_name,fvst:fixme,url,opening_hours:seating,branch,drive_through,brewery,internet_access,check_date,ref:DK:cvr,ref:DK:cvr:pnummer,wikidata,min_age,description,sport,toilets:wheelchair,smoking,access:covid19,operator,email,award:michelin,delivery,wikipedia,changing_table,diet:vegan,diet:vegetarian,internet_access:fee,contact:facebook,contact:instagram,drink:beer,contact:email,stars,opening_hours:bar,name:es,brand,diet:halal,diet:meat,diet:organic,name:en,shop,drink:wine,fixme,internet_access:ssid,cocktails,breakfast,level,payment:cash,payment:contactless,bar,opening_hours:signed,seasonal,access
55.6864665,12.5500587,bar,,577983,Tjili Pop 2,"Su,Mo 09:00-01:00, Tu,We 09:00-02:00, Th 09:00-03:00, Fr,Sa 09:00-04:00",,https://www.tjili.dk/,no,,,,,,,,,,,,,,,,,,,,,,,,Q18552345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6870129,12.5479826,bar,,761368,gilt,,,,limited,,,,,no,,,,,,Cocktail bar,,,,,,,,no,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6854535,12.5522738,restaurant,italian,116799,Scarpetta,17:30-24:00,+45 35350808,http://cofoco.dk/da/restauranter/scarpetta-rantzausgade/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6737032,12.550029,restaurant,french,115293,Les trois cochons,"Mo-Sa 12:00-14:30,17:30-24:00; Su 17:30-24:00",+45 33317055,https://cofoco.dk/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6709507,12.5436884,bar,,699132,Café Ludwigsen,"mo-we 14:00-02:00,th-sa 14:00-05:00,su 14:00-02:00",+45 33237720,http://www.cafeludwigsen.dk/,no,yes,yes,,https://www.facebook.com/cafeludwigsen/,yes,,,,,,,,,,,,,,,,,,,,,"Vesterbros hyggeligste bar med livesport på storskærme, pool, dart, bordfodbold, plus en lækker menu bestående af diverse cocktails, special øl og shots...
Åben alle dage!",table_soccer,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6654768,12.5388859,bar,,794011,Cafe Bryggeriet,,,,no,,,,,,,,,,,,,,,,,,,,,,40108173,1024242036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6690764,12.5500661,bar,,712408,Det Lille Øresund,,,,no,,,,,,,,,,,,,Bodega Det lille Øresund,,,,,,,,,33665253,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6673995,12.5477341,bar,,,Stempel Bar & Kitchen,,+45 3321 2767,https://www.stempelcph.dk/,,yes,yes,,https://m.facebook.com/stempelcph/,yes,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6739171,12.5496938,school,,,Prins Henriks Skole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6928738,12.551605,restaurant,surf&turf,125199,Oysters & Grill,Mo-Th 17:30-21:30; Fr-Sa 17:30-22:00; Su 17:30-21:15,+45 70206171,https://cofoco.dk/da/restauranter/oysters-and-grill/,no,,,Oyster & Grill,,,,,,,,Opening hours are for last seating,,,,,,,,,,,,,,,,,,,,CoFoCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6727576,12.5521715,restaurant,italian,122314,Spuntino,Mo-Sa 17:30-24:00,+4570205089,https://cofoco.dk/en/restaurants/spuntino/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spuntino@cofoco.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6757981,12.5426451,restaurant,french,116096,Mêlée,tu-sa 17:30-24:00,+4535131134,http://www.melee.dk,,yes,yes,,https://www.facebook.com/RestaurantMelee/,yes,,yes,,yes,,,Tu-Sa 17:30-24:00,,,,,,,,,,,,,,,,,,,,mail@melee.dk,bib_gourmand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6709733,12.5314567,restaurant,sushi,117716,Fuji Sushi,14:00-23:00,+45 78784747,https://www.fujisushi.dk/,no,yes,yes,,,,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6726005,12.5313911,restaurant,danish,115954,Hansens Gamle Familiehave,"Jan-Feb We-Sa 11:00-24:00,Su 11:00-18:00; Mar Tu-Sa 11:00-24:00,Su 11:00-18:00; Apr-Sep 11:00-24:00; Oct 1-Nov 11 Tu-Sa 11:00-24:00,Su 11:00-18:00; Nov 12-Dec 22 Mo-Sa 11:00-24:00",+45 36309257,https://www.hansenshave.dk/,yes,yes,yes,,,yes,,yes,yes,yes,,,"Jan-Feb We-Sa 11:00-21:30,Su 11:00-16:30; Mar Tu-Sa 11:00-21:30,Su 11:00-16:30; Apr-Sep 11:00-21:30; Oct 1-Nov 11 Tu-Sa 11:00-21:30,Su 11:00-16:30; Nov 12-Dec 22 Mo-Sa 11:00-21:30",,,,,,,,,,,,Q12315604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6711876,12.5306595,restaurant,danish,118671,Krøgers Familiehave,Ma-Sa 11:30-21:00; Su 11:30-19:00,+45 36450897,https://www.kroegershave.dk/,yes,yes,yes,,,yes,,yes,yes,yes,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6714583,12.530748,restaurant,danish,118336,M.G. Petersens Familiehave,"Mar 24-Sep 13 12:00-19:00; May-Sep 11:00-23:00; easter-3days-easter+1days 11:00-19:00 ""(season approximate)""",+45 36161133,http://www.petersensfamiliehave.dk/,yes,yes,yes,M. G. Petersens gamle Familiehave,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6718932,12.5251621,school,,,Frederiksberg Slot - Hærens Officersskole,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3378377,,,,,,,,,,,da:Hærens Officersskole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.693679,12.5427877,bar,,118574,Terroiristen,Tu-Th 12:00-18:00; Fr 12:00-19:00; Sa 11:00-18:00,,https://www.terroiristen.dk/,no,,,,,,,,,,,,,Terroiristen vinbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6936028,12.5428999,restaurant,regional,130793,Grød,Mo-Fr 07:30-21:00; Sa-Su 09:00-21:00,+45 50585579,https://groed.com/,no,,,,,yes,yes,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,
55.6779885,12.521605,school,,,CBS - Handelshøjskolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6874043,12.5467207,restaurant,vietnamese,115811,Nha Trang,Mo-Su 17:00-22:00,+45 32161888,http://www.nhatrang.dk/,no,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6859481,12.5523945,bar,,509492,Dupong,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6858796,12.5523207,bar,,505533,Ølsnedkeren,"Mo-We 14:00-24:00, Th-Sa 14:00-02:00",,https://olsnedkeren.dk/,limited,,,,,no,,,,,,,,Ølsnedkernes Klub Bar,,,,,,,,,33276249,1016491892,,18,,,,,,,baren@olsnedkeren.dk,,,,,,,,https://www.facebook.com/olsnedkeren/,https://www.instagram.com/olsnedkeren/,served,,,,,,,,,,,,,,,,,,,,,,
55.6744834,12.5512432,bar,,111881,Amigo Bar,,+45 3321 4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,amigobar@os.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6747014,12.5309092,restaurant,gourmet,117025,Mielcke & Hurtigkarl,"Tu-Sa ""evenings""",+45 38 34 84 36,http://www.mhcph.com/,,,yes,,,yes,,yes,yes,yes,,,,,lat missing in FVST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@mhcph.com,,,,,,,,,,,,,,,,,,,,,
55.6812097,12.5493551,restaurant,,554569,Kitchenette,Mo-We 11:00-22:00; Th-Sa 10:00-24:00; Su 10:00-18:00,+45 32212323,https://kitchenette.dk/,,,,MC COMPANY,,yes,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.670698,12.5355288,restaurant,scandinavian,112268,Formel B,Mo-Th 17:30-24:00; Fr-Sa 17:30-01:00,+45 33251066,https://formelb.dk/,no,yes,,,https://www.facebook.com/restformelb/,,,,,yes,,,,,,,,,,,wlan,,,,Q12312001,,,,,,,,info@formel-b.dk,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
55.6705722,12.5421135,restaurant,indian;pakistani;pizza,118882,Colombia Pizza & Restaurant,"Su-Th 12:00-23:00; Fr,Sa 12:00-24:00",+45 3323 1202,,no,,,Colombia Pizza Restaurant,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6706559,12.5319708,restaurant,italian,116852,Enomania,"tu-th 17:30-24:00; th-fr 12:00-15:00,17:30-24:00,ph off; week 42 off",+4533236080,http://www.enomania.dk/,no,yes,yes,,https://www.facebook.com/pages/Enomania/127444930651746,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,mail@enomania.dk,bib_gourmand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6703822,12.5353469,restaurant,sushi,647137,Omakase,16:00-21:00,+45 33234044,https://www.omakase.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6791194,12.5251614,restaurant,international,760767,Frederiks Have,"Mo-Sa 12:00-14:30+,17:30-21:30+",+45 38883335,http://frederikshave.dk/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.67991,12.52178,bar,,763354,Café6'eren,,,,,,,Café Sekseren (Café 6eren),,,,,,,,,,Café Sekseren,,,,,,,,,39780097,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6683,12.54556,school,,,Engskolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6740948,12.5499759,bar,,119665,Falernum,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6768096,12.5403322,bar,,112313,Hjørnet,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6762611,12.5414017,restaurant,french,916177,Sans Souci,"Mo-Sa 12:00-16:30,17:30-21:30",+45 33217463,http://www.sanssouci.dk/,,,,Sanc Souci/ B & W INVESTMENT ApS,,,no,,,,,,,,,,,,,,,,,,Q63457230,,,,,outside,,,,,no,,,,,,,,,,,21:30-24:00,,,,,,,,,,,,,,,,,,,
55.6664308,12.5204573,restaurant,indian,509917,Punjab,Mo-Th 16:00-22:00; Fr-Su 12:00-22:00,+45 36462500,https://www.punjabrestaurant.dk/,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6876177,12.5469304,bar,,,Kølsters Tolv Haner,Mo-Su 15:00-24:00,+45 32209484,,,,,,,,,,,,,,,,,,,,,,,2020-12-13,,,,,,,,,,,,,,,,,,,,,yes,,,,Kølsters Tolv Haner,,,,,,,,,,,,,,,,,,
55.6695262,12.5549211,restaurant,mexican,117538,Senorita,mo-th 12:00-23:00; fr-sa 12:00-02:00,+45 33 24 64 54,https://restaurantsenorita.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6869918,12.5320044,restaurant,italian,115761,Da Claudio,Mo-Sa 17:00-24:00; Su 17:00-23:00,+45 38872616,https://www.da-claudio.dk/,,,,,,,,,,,,,Mo-Sa 17:00-23:00; Su 17:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6803795,12.548417,restaurant,asian,131591,Chai 餐 Wong,Mo-Th 17:00-22:00; Fr-Sa 12:00-22:00; Su 17:00-21:00,+45 27523565,https://www.chaiwong.dk/,,,,,,,,,,,,,,Chai Wong,,,,,,,,,,,Q47012366,,,,,,,,eat@chaiwong.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.68304,12.5502164,restaurant,thai,542866,Sikhiu,Mo-Sa 16:00-21:30,+45 32123323,http://www.sikhiu.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mac_arreerat@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6803887,12.5483354,restaurant,,131591,A Roii,Mo-Sa 12:00-22:00; Su 17:00-22:00,+45 27523565,https://aroii.dk/collections/thorvaldsensvej,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6885295,12.5419871,restaurant,cantonese,507166,Fu Wa,We-Mo 16:00-22:00,+45 38191740,http://www.fuwa.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6724308,12.549453,restaurant,japanese,112348,Restaurant Tokyo,Mo-Sa 17:00-23:00; Su off,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6884335,12.5379889,restaurant,pizza,520204,Alanya Cafe og Pizza Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6794881,12.5338565,restaurant,,761716,Meli's,,,https://www.melis7.dk/,,yes,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6859501,12.5528263,restaurant,thai,907115,Restaurant Ayuttaya,12:00-23:00,+45 35373868,https://www.ayuttaya.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@ayuttaya.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6878253,12.5540103,restaurant,japanese,576596,Ramen To Biíru,Mo-Th 12:00-21:00; Fr-Sa 12:00-24:00; Su 12:00-20:00,+45 50530222,http://mikkeller.dk/location/ramen-to-biiru-2/,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,Mikkeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6768048,12.5394373,restaurant,indian;chicken;asian;sushi,966201,Bindia,Mo-Su 16:00-21:00,+45 33318376,https://www.bindia.dk/,yes,,,Bindia II,,,yes,,,,,,,,,,,Gl. Kongevej,,,,,41162597,1026547586,,,"Bindia is a chain of Indian food (Indisk Mad) Take-Aways in Copenhagen for last many years. Amer Sulman is the founder & head chef of Bindia. Here, we cook certified organic Indian food (30-60%) without any additives and preservatives.",,,,,,office@bindia.dk,,yes,,,yes,yes,,,,,,,,,Bindia,yes,yes,yes,Bindia,,,,,,,,,,,,,
55.6665494,12.5217669,restaurant,,566411,Omar Khayam Den Persiske Restaurant,,+45 36454527,http://www.persiske-restaurant.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6783936,12.5320979,restaurant,,118343,Restaurant Frksbrg,"11:30-15:30,17:00-21:30; Su-Mo 11:30-16:00",+45 3311 0313,http://belisbar.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6705,12.531252,bar,steak,118558,BAR 23,17:00-23:00; Su 17:00-22:00,+45 33227007,https://www.pilekroen.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6738208,12.5295951,restaurant,,115394,Josty,,,http://josty.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.666447,12.5513407,restaurant,,965595,Dumpo,,,https://www.dumpo.dk,,,,,https://www.facebook.com/Vinderhjornet,,,,,,,,,,,,,,,,wlan,,41672218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookmaker,,,,,,,,,,,,
55.6809709,12.5332699,restaurant,asian,548529,Wagamama Frederiksberg,11:30-21:00; Fr-Sa 11:30-22:00,,https://www.wagamama.dk/restauranter/frederiksberg,no,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6807476,12.5537813,restaurant,italian,123696,Restaurant Il Grappolo Blu Divina Patria,18:00-24:00; Su-Mo off,+45 33115720,http://www.ilgrappoloblu.com/,,,,,,,,,,,,,,,fvst:no_pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.679345,12.554631,restaurant,french,574286,Restaurant Anarki,17:30-24:00; Su-Mo off,+45 22131134,http://restaurant-anarki.dk/anarki/,,yes,yes,,https://www.facebook.com/restaurantanarki/,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,bib_gourmand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.678419,12.554611,bar,,761790,Salon 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.667618,12.545708,restaurant,italian,532825,Osteria 16,18:00-24:00; fr-sa 18:00-02:00,+45 33216060,http://osteria16.dk/,,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6871785,12.5299759,restaurant,italian,109636,Candido,13:00-23:00; Sa 11:00-23:00; Tu off,,,,,,GASTRONOMIA CANDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6858794,12.5366965,restaurant,indian,959744,South Indian,17:00-23:00; Sa-Su 12:00-23:00; Mo off,+45 81919181,https://southindian.dk/,,,,SOUTH INDIAN Chettinad Cuisine,,,yes,,,,,,,,"fvst position missing, fixed from overpassturbo/osak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6875478,12.5470834,bar,,721138,Tolv Haner,"Fr,Sa 14:00-01:00, Mo-Th 15:00-24:00, Su 14:00-22:00",,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6792203,12.5337989,restaurant,italian,112706,San Marco Junior,Mo-Fr 10:00-23:00; Sa 10:00-23:30; Su 10:00-21:30,+45 33 24 95 76,https://www.sanmarcojunior.dk/,no,yes,,,,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6847688,12.5405472,restaurant,italian,645731,Famosi E Golosi,17:00-24:00; Su off,+45 35391891,http://famosiegolosi.dk/,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
