lat,lon,amenity,cuisine,fvst:navnelbnr,microbrewery,name,opening_hours,phone,website,wheelchair,wheelchair:description,wikidata,wikipedia,note,smoking,toilets:wheelchair,fvst:name,takeaway,name:en,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,opening_hours:kitchen,operator,outdoor_seating,opening_hours:cafe,payment:credit_cards,toilets,branch,survey:date,fvst:fixme,reservation,dinner,lunch,capacity,award:michelin,contact:instagram,email,facebook,url,alt_name,happycow:id,breakfast,delivery,tourism,official_name,ref:DK:cvr,contact:facebook,leisure,table_soccer,fee,changing_table,opening_hours:seating,changing_table:location,internet_access,internet_access:fee,organic,stars,drive_through,ref:DK:cvr:pnummer,brewery,check_date,payment:bitcoin,min_age,opening_hours:covid19,sport,access,drinking_water,fee:price,indoor,toilets:disposal,description,opening_hours:url,phone:restaurant,phone:takeaway,access:covid19,male,shop,unisex,layer,check_date:diet:vegetarian,female,toilets:position,level,year,diet:halal,diet:meat,diet:non-vegetarian,diet:organic,drink:beer,opening_hours:signed,seasonal,contact:email,age_limit,yelp,emergency,old_name,opening_hours:bar,name:es,seamark:small_craft_facility:category,seamark:type,payment:cash,payment:debit_cards,payment:mobile_phone,toilets:access,drink:wine,internet_access:ssid,comment,pitch,drink:sake,cocktails,contact:phone,start_date,payment:contactless,short_name,fixme,music_venue,restaurant,gender_segregated,supervised,underground,school,baby_feeding,bar,drink:cocktail,name:zh,diet:dairy_free,diet:egg_free,diet:pescetarian,payment:android_pay,payment:apple_pay,payment:card,payment:gift_card,ref:vatin,lgbtq,instagram,undefined,webshop,drink:cider,drink:gin
55.6770792,12.5751847,restaurant,steak,113908,,Riz Raz Sticks'N'Veggies Kompagnistræde,11:30-24:00; Dec 24-26 off; Jan 01 off,+45 33150575,,limited,,,,,,,Riz Raz Restaurant,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6765807,12.5718891,restaurant,italian,535182,,Il Ponte,16:00-23:00,+45 33136463,http://www.ilponteitaliano.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6797762,12.5754143,restaurant,,113033,,Wining & Dining,17:30-24:00,+45 33129686,http://www.wininganddining.dk/,,,,,,,,,,,,,,,,17:30-22:30,Le Pave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.679433,12.575349,restaurant,italian,902693,,Ristorante Amalfi,11:00-24:00,+45 33114707,http://www.restaurantamalfi.dk/,,,,,,,,Restaurationsselskabet Gråbrødre Torv 21 ApS,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6796537,12.5759776,restaurant,regional,113720,,Peder Oxe,Su-We 10:00-23:30; Th-Sa 10:00-24:00,+45 33110077,https://www.pederoxe.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6795485,12.575953,restaurant,regional,113721,,Bøf & Ost,10:00-22:30,+45 33119911,https://boef-ost.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6807127,12.5832761,restaurant,,114779,,Cafe Victor,"Mo-Th 11:30-16:00,18:00-22:00; Fr-Sa 11:30-16:00,18:00-23:00; Su 11:30-16:00,18:00-22:30",+45 3313 3613,http://cafevictor.dk/en/,limited,,,,,,,,,,,,,,,,,,"Mo-We 08:00-01:00, Th-Fr 08:00-02:00, Sa 09:00-02:00, Su 11:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6803781,12.5804521,restaurant,,119420,,Madklubben Grill,Mo-Sa 17:00-24:00,+45 33133334,https://madklubben.dk/grill-koebenhavn/,limited,,,,,no,,,,,,,,,,Mo-Sa 17:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6809107,12.5824969,restaurant,italian,112385,,La Vecchia Signora,12:00-23:00,+45 33160048,http://www.la-vecchia-signora.dk/,no,,,,,no,,LAVECCHIA SIGNORA GIULIA APS,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6807191,12.5828713,restaurant,french,119706,,L'Alsace,"Mo-Sa 11:30-24:00, PH off",+45 33145743,https://www.alsace.dk/,no,,,,,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6790105,12.5805759,restaurant,,115449,,Mama Rosa,09:00-24:00,+45 33938082,http://www.mamarosa.com/,limited,,,,,,,Mama Rosa / Americas Grill,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6786581,12.5325728,bar,,719930,,The Old Irish Pub,,+45 5189 7713,https://oldirishpub.dk/,yes,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6763037,12.5644933,restaurant,steak,112950,,Jensen's Bøfhus Axeltorv,Mo-Th 11:00-22:30; Fr-Sa 09:00-24:00; Su 09:00-22:30; 11:00-22:30; Fr-Sa 11:00-24:00,+45 70304050,https://www.jensens.com/restaurant/koebenhavn-axeltorv/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6778757,12.5695321,restaurant,galette,111223,,La Galette,"Mo-Sa 12:00-16:00,17:30-22:00; Su 13:00-22:00",+45 33323790,http://www.lagalette.dk/,yes,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.678228,12.569743,restaurant,french,115940,,L'education Nationale,11:30-24:00,+45 33915360,https://www.leducation.dk/,no,,,,,no,,,,,,,,,,11:30-22:00; Su 11:30-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6781715,12.5680739,restaurant,balcan,117884,,Dubrovnik,17:00-24:00,+45 33130564,http://restaurant-dubrovnik.dk/,,,,,,,,,yes,,,,,,,17:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.676738,12.5674414,restaurant,italian,113880,,Vesuvio of Copenhagen,Mo-Th 13:00-00:00; Fr-Sa 13:00-01:00,+45 33153315,http://www.vesuvio.dk/,,,,,,,,Vesuvio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733149,12.5616617,restaurant,steak,112055,,Jensen's Bøfhus,08:00-24:00,+45 63134516,https://www.jensens.com/restaurant/koebenhavn-vesterbrogade/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.666871,12.597726,restaurant,indian,737716,,Deep,15:00-23:00,+45 35393838,http://www.deeprestaurant.dk/,,,,,,,,Deep 2 Indisk Restaurant,,,,,,,yes,,,,,,,2,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6681601,12.5971417,restaurant,italian,959492,,Rimini,Mo-Su 12:00-24:00,+4532572819,http://rimini.dk/,,,,,,,,,,,,,,,,,,,,,,,,"fvst position missing, fixed from overpassturbo/osak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6777413,12.5785538,restaurant,seafood,573483,,Krog's Fiskerestaurant,"""lunch and dinner""",+45 33158915,http://krogs.dk/,,,Q21936680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6811269,12.5741096,restaurant,turkish,668474,,Ankara,"11:00-24:00; Su,PH 13:00-24:00",+45 33151915,https://ankaracity.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6793725,12.5752015,restaurant,international,112668,,Eros,"Tu-Fr,Su 16:00-23:00; Sa 13:00-23:00",+45 33134076,https://www.erosrestaurantdk.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6793029,12.5743687,restaurant,greek,718045,,Samos,11:30-23:00,+45 33330025,http://www.samosrestaurant.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6791314,12.573758,restaurant,international,112270,,Nova,11:00-24:00,+45 33111249,http://restaurantnova.com/,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6787069,12.5727364,restaurant,indian,117674,,Shahi,mo-th 16:00-24:00; fr-sa 12:00-24:00; su 17:00-24:00,+45 33126272,http://www.shahirestaurant.dk,,,,,,,,Shahi Indisk Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.690498,12.5441844,restaurant,turkish,734564,,Safir Kebab,Mo-Fr 11:00-24:00; Sa-Su 12:00-24:00,+45 35343470,,limited,,,,,,,Safir House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6809684,12.5878215,restaurant,,111793,,Els,12:00-22:30,+45 33141341,http://www.restaurant-els.dk/,limited,,,,,no,,,,,,,,,,,,yes,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6809061,12.5883161,restaurant,danish,912492,,Zeleste,Mo-Su 12:00-22:00,+45 33160606,https://zeleste.dk/,no,,,,,no,,,,,,,,,,Mo-Th 11:30-22:00; Fr 11:30-22:30; Sa 10:30-22:30; Su 10:30-22:00,,yes,,yes,yes,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.680579,12.588872,bar,,112601,,Klods Hans,,+45 33339091,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6792833,12.5738811,restaurant,italian_pizza,112060,,Italiano,11:00-24:00,+45 33111295,http://www.italiano.dk/,,,,,,,,RISTORANTE ITALIANO AF 6 MARTS 1998 APS,,,,,,,,,,yes,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6780529,12.5803408,restaurant,asian,500158,,Wok On,"Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su,PH 12:00-21:00",+45 33323213,http://hojbroplads.wokon.dk/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6826871,12.5745415,restaurant,smørrebrød,715374,,Restaurant Jacobsen,11:00-24:00; Dec 24-25 off; Jan 01 off,+45 33147099,http://restaurant-jacobsen.dk/,yes,,,,,,,,,,,,,,,11:00-22:00; Dec 24-Dec 25 off; Jan 1 off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6772838,12.5769463,restaurant,scandinavian,788694,,Marv & Ben,Tu-Sa 18:00-24:00,+4533910191,https://www.marvogben.dk,,,,,,,,,,,,,,,,Tu-Sa 18:00-22:00,,,,yes,yes,,,,yes,yes,,,bib_gourmand,https://www.instagram.com/marvogben/,reservation@marvogben.dk,https://www.facebook.com/marvben/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6734181,12.5553705,restaurant,french,523670,,Chez Bruno,Tu-Sa 17:00-23:00,,http://www.chez-bruno.com/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6719106,12.5562393,restaurant,,770910,,Le Basilic,"Tu-Sa 17:30-22:30; Fr-Sa 12:00-15:00, 17:30-22:30",+45 33318305,,no,,,,,,,Restaurant LB,,,,,,,,,,,,,,,,,,,,,,,,,https://www.le-basilic.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6707876,12.5610473,restaurant,,565569,,Apropos,Su-Th 09:00-24:00; Fr-Sa 09:00-01:00,+45 33231221,http://cafeapropos.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6690839,12.5573535,restaurant,thai,111936,,Ban Gaw,12:00-24:00,+45 33228438,https://bangaw.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692654,12.5577022,restaurant,thai,112176,,Porn-Sak,12:00-22:00,+45 33313999,http://www.pornsak.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/pages/Pornsak/133595053366699,,Pornsak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6770342,12.5703318,restaurant,chinese_buffet,111278,,Beijing,11:00-22:00,+45 33111205,http://www.restaurantbeijing.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733045,12.5596734,restaurant,,118046,,Flora's Steakhouse,Su-Th 11:30-22:00; Fr-Sa 11:30-22:30,+45 33230902,https://www.floras.dk/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6732568,12.5452292,restaurant,mexican,118114,,La Fiesta Mexicana,17:00-01:00,+45 33217750,https://www.lafiestamexicana.dk/,no,,,,,,,,yes,,,,,,,,,yes,,yes,yes,,,,,,,,,,,https://www.facebook.com/pages/La-Fiesta-Mexicana/132926343435134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.680632,12.5337297,restaurant,italian,115923,,La Vecchia Gastronomia Italiana,12:00-23:00,+45 38119333,http://www.lavecchia.dk/,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6843632,12.5515978,restaurant,greek,112075,,Akropolis,"Mo,Th,Sa 16:00-01:00, Sa-Su 16:00-05:00",,http://www.restaurant-akropolis.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6841005,12.5514227,restaurant,sushi,117073,,Nyu Sakura,12:00-22:00,+45 3536 5757,https://www.nyu-sakura.dk/,,,,,,,,SAKURA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6819882,12.5543323,restaurant,danish,130223,,Radio,"Tu-Sa 17:30-24:00; Fr-Sa 12:00-15:00,17:30-24:00",+45 25102733,https://restaurantradio.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
