lat,lon,amenity,cuisine,fvst:navnelbnr,name,opening_hours,phone,website,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,takeaway,wheelchair,fvst:name,url,alt_name,facebook,outdoor_seating,payment:credit_cards,toilets,operator,tourism,official_name,capacity,dinner,reservation,contact:facebook,contact:instagram,email,leisure,smoking,table_soccer,opening_hours:seating,branch,drive_through,internet_access,ref:DK:cvr,ref:DK:cvr:pnummer,brewery,fvst:fixme,check_date,opening_hours:kitchen,opening_hours:covid19,description,sport,toilets:wheelchair,opening_hours:url,min_age,phone:restaurant,phone:takeaway,delivery,access:covid19,award:michelin,stars,wikidata,seasonal,wheelchair:description,lunch,note,payment:cash,payment:debit_cards,payment:mobile_phone,shop,level,wikipedia,drink:wine,comment,drink:sake,contact:phone,start_date,music_venue,restaurant,access,cocktails,drink:beer,name:zh,bar,opening_hours:signed,microbrewery,end_date
55.6731288,12.5604195,restaurant,kebab,927525,Kebabish,"Mo-Th 11:00-24:00, Fr 11:00-02:00, Sa 12:00-02:00, Su 12:00-24:00",+45 33226226,http://www.kebabish.dk/,,,,,,,no,Kebabish DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6695947,12.5646074,restaurant,regional,546260,Vestauranten,17:00-23:00; Su 11:00-14:00,+45 33298020,https://www.dgi-byen.dk/vestauranten/,,,,,,,yes,DGI-Byen Vestauranten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6726211,12.5607845,restaurant,,110674,Hebron,,,https://www.hebron.dk/,,,,,,,,Best Western Hotel Hebron Morgenmadsrestaurant,,,,,,,Best Western,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6345603,12.5885828,restaurant,pizza,716495,Chili's,Mo-Su 14:00-22:00,,https://chilispizza.dk/,Chili's,Q1072948,en:Chili's,,,,no,Chilispizza.dk,,,,,,,,,Chili's Grill & Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692418,12.5791679,restaurant,,542543,Aristo,Mo-Fr 11:00-21:30; Sa 11:00-22:00; Su 10:00-20:00,+45 32 95 83 30,http://www.restaurantaristo.dk/,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6711195,12.5457687,restaurant,regional;smørrebrød,119339,Restaurant Klubben,11:00-23:00,+45 33314015,http://www.restaurant-klubben.dk/,,,,,,,,,,Tove Ditlevsens Mindehave,https://www.facebook.com/pages/Restaurant-Klubben/132235606835821,yes,yes,yes,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6632055,12.5421603,bar,,789223,Vang & Bar,Tu 16:00-24:00; We 16:00-01:00; Th-Sa 16:00-02:00,+45 60806085,https://www.vangandbar.com/,,,,,,,yes,,,Barbasen,,yes,,yes,,,,,,,vangandbar,vangandbar,info@flisenbarandburgers.dk,fussball,outside,french,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6735634,12.5666399,restaurant,french,119684,Nimb Brasserie,"07:00-11:00,12:00-15:30,17:00-22:00",+45 88700000,http://brasserie.nimb.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6723741,12.5506713,restaurant,italian,115373,Famo,Mo-Su 18:00+,+45 33232250,http://www.famo.dk/,,,,,,,no,,,,,,,,,,,,,,,,,,,,Mo-Su 18:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692157,12.5530946,restaurant,tacos,806337,La Neta Vesterbro,"Mo-Fr 17:00-21:00; Sa,Su 12:00-21:00",+45 31 26 79 18,https://mikkeller.com/locations/la-neta-vesterbro,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Vesterbro,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6679147,12.5563801,bar,,543448,Fermentoren,Mo-We 15:00-24:00; Th 14:00-01:00; Fr-Sa 14:00-02:00; Su 14:00-24:00,+45 23908677,http://www.fermentoren.com,,,,,,,,,,Fermentoren Beer Bar,,yes,yes,,,,,,,,,,,,,,,,,wlan,33866569,1017045586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6660465,12.5535148,bar,,712621,Cafe 33,,+4533319019,https://cafe33.dk,,,,,,,,,,,https://www.facebook.com/cafe33b/,yes,,,,,,,,,,,,,,,,,,wlan,,,Tuborg;Carlsberg,fvst:no_pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6672208,12.553453,bar,,992119,Café 42,,+45 33316066,https://bar42.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesterbro,,,41627581,1026200292,,,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6682661,12.5497023,bar,,112695,Vesterbro Vinstue,,+45 33251080,http://vesterbrovinstue.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6653161,12.5576571,restaurant,french,540185,Je t’aime,Mo-Fr 08:00-24:00; Sa-Su 12:00-24:00,+45 31267069,https://www.jetaime.dk/,,,,,,,,,,,https://www.facebook.com/jetaimevesterbro/,,,,,,,,,,,https://www.instagram.com/jetaimepics/,,,,,,,,,,,,,,Mo-Sa 10:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692729,12.5496981,bar,,117982,Riesen,,,,,,,,,,no,,,Riesen Bar,,,,,,,,,,,,,,,,,,,,,27931294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.668674,12.5565742,bar,,112222,St. Pauli Minibar,,+45 33316527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6696351,12.5582526,bar,,662590,Freddys Bar,,+45 33227095,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6697425,12.5581224,bar,,,Café Centralen,,+45 33 316416,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6702253,12.5580263,bar,,112271,Hos Tove,,+45 33243782,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6735371,12.591952,restaurant,sushi,116135,Letz Sushi Christianshavn,11:30-22:00,+45 33151918,https://www.letzsushi.dk/restauranter/christianshavn/,,,,,,,limited,Letz Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6716374,12.59251,restaurant,indian,113372,Spicey Kitchen,17:00-22:00,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6723928,12.5900587,restaurant,argentinian,119320,Asador,17:30-21:00+,+45 32545408,http://www.asador.dk/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6718039,12.5583805,restaurant,international,114422,Cofoco,Mo-Sa 17:30-24:00,+45 33136060,https://cofoco.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 17:30-21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6737032,12.550029,restaurant,french,115293,Les trois cochons,"Mo-Sa 12:00-14:30,17:30-24:00; Su 17:30-24:00",+45 33317055,https://cofoco.dk/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6709507,12.5436884,bar,,699132,Café Ludwigsen,"mo-we 14:00-02:00,th-sa 14:00-05:00,su 14:00-02:00",+45 33237720,http://www.cafeludwigsen.dk/,,,,,,,no,,,,https://www.facebook.com/cafeludwigsen/,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,"Vesterbros hyggeligste bar med livesport på storskærme, pool, dart, bordfodbold, plus en lækker menu bestående af diverse cocktails, special øl og shots...
Åben alle dage!",table_soccer,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6656284,12.5754894,restaurant,italian,126018,Ponte Vecchio,Mo-Fr 12:00-22:00; Sa-Su 15:00-22:00; Dec-Feb Su off,+45 32 54 11 11,http://pontevecchio.dk,,,,,,,,Ponte Vicchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://pontevecchio.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6675771,12.5780731,bar,,112526,Café Haraldsborg,Mo-Su 10:00-02:00,+45 32 54 69 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6678361,12.5785286,bar,,113152,Isbjørnen,,+45 32 96 96 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6690764,12.5500661,bar,,712408,Det Lille Øresund,,,,,,,,,,no,,,Bodega Det lille Øresund,,,,,,,,,,,,,,,yes,,,,,,33665253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6719575,12.5575483,bar,,576202,Mikkeller Bar Viktoriagade,Mo-Th 14:00-23:00; Fr 14:00-00:00; Sa 12:00-00:00; Su 14:00-22:00,+45 33310415,https://mikkeller.com/locations/mikkeller-viktoriagade,,,,,,,no,,,,,,,,,,,,,,,https://www.instagram.com/mikkellerbarvik,,,,,,,,,,,,"fvst position missing, fixed from overpassturbo/osak",,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6684525,12.5792029,restaurant,sushi,903154,Hatoba,Mo-Th 14:00-21:30; Fr 14:00-22:30; Sa 12:00-22:30; Su 12:00-21:30,,http://hatoba.dk,,,,,,yes,,,,Hatoba Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+45 32 96 80 50,+45 32 95 50 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6736923,12.5560021,bar,,111889,Kennedys Irish Bar,Mo-Su 12:00-02:00,+45 33315249,,,,,,,,no,Kennedys irish Bar A Kennedy & T Tynan,,,,,,,,,,,,,,,,,,,,,,,25715640,1008021429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6710092,12.5611931,restaurant,thai,774308,N.OBU,17:00-22:00; Fr-Sa 17:00-23:00,+45 33311311,https://nobucph.dk/,,,,,,,,,,,,,,,7-Eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6709081,12.5585764,restaurant,pakistani,989210,Restaurant Shezan,12:00-23:00,+45 33247888,http://www.shezan.dk/,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,38712853,1027107237,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.673194,12.5612145,bar,,116204,Cube,,+45 33311432,,,,,,,,no,,,Scandic Cube Cafe,,,,,Scandic Webers,,,,,,,,,,,,,,,,12596774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6673995,12.5477341,bar,,,Stempel Bar & Kitchen,,+45 3321 2767,https://www.stempelcph.dk/,,,,,,,,,,,https://m.facebook.com/stempelcph/,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6703413,12.5803577,restaurant,Nordic,754249,Restaurant Viva,17:30-24:00,+45 27 25 05 05,http://restaurantviva.dk,,,,,,,,Restaurant Viva/Båden ved broen,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,http://www.restaurantviva.dk/da/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6718729,12.5920754,restaurant,chinese,115392,Restaurant Long Feng,12:00-23:00,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733005,12.5939114,school,,,Christianshavn Døttreskole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6685053,12.5576615,restaurant,pizza,119532,Mother,"11:00-01:00, su 11:00-23:00",+45 22275898,https://mother.dk/,,,,,,,yes,,,,https://www.facebook.com/mother-restaurant-141572339187099/,,,,,,,,,,,,,,,,,,,wlan,,,,,,"11:00-23:00,Su 11:00-22:00",,Known for our no-nonsense Italian comfort food made from the best organic ingredients & our trademark sourdough pizzas baked in wood-fired oven Kitchen Closes at 11.00pm from Sunday - Thursday & at 00.00 Friday - Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6738595,12.5646995,bar,,126382,Library Bar,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6739171,12.5496938,school,,,Prins Henriks Skole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6727576,12.5521715,restaurant,italian,122314,Spuntino,Mo-Sa 17:30-24:00,+4570205089,https://cofoco.dk/en/restaurants/spuntino/,,,,,,,no,,,,,,,,,,,,,,,,spuntino@cofoco.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6723586,12.5630101,restaurant,chinese,117544,Magasasa,mo-su 11:00-23:00,,http://www.magasasa.dk/1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733569,12.5662608,restaurant,,126008,Nimb Bar'n'Grill,Mo-Sa 17:00-23:00,+45 88700060,http://bargrill.nimb.dk/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6350236,12.5822757,restaurant,indian,509814,Rasoi,Mo-Su 17:00-22:00,+45 6914 9445,https://www.rasoi.dk/,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6537447,12.5909462,bar,,111826,Hatten Bar,,,,,,,,,,,Hatten Grønjordskollegiet,,,,,,,Grønjordskollegiet,,,,,,,,,,,,,,,,10801958,,,,,,,Værtshus for beboere på Grønjordskollegiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6687256,12.559701,bar,,118305,Bakken,th 21:00-05:00; fr-sa 20:00-05:00,,http://bakkenkbh.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6572827,12.5667896,restaurant,italian,128875,Scarpetta - Islands Brygge,Mo-Su 17:30-24:00,+4570207172,https://cofoco.dk/da/restauranter/scarpetta-islands-brygge/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrong location,,Mo-Su 17:30-21:30; Su 17:30-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6722547,12.5888555,restaurant,regional,960502,Kadeau København,"Tu-We 18:00+; Th-Sa 12:00-13:30,18:00+",+4533252223,https://www.kadeau.dk,,,,,,,,,,,https://www.facebook.com/restaurantkadeau/,,yes,,,,,,,yes,,,kbh@kadeau.dk,,,,,,,wlan,,,,,,,,,,,,,,,,,2,2,Q23010103,,,,,,,,,,,,,,,,,,,,,,,,,
55.6705722,12.5421135,restaurant,indian;pakistani;pizza,118882,Colombia Pizza & Restaurant,"Su-Th 12:00-23:00; Fr,Sa 12:00-24:00",+45 3323 1202,,,,,no,yes,yes,no,Colombia Pizza Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733737,12.5671385,restaurant,barbecue,113569,Promenaden,"12:00-17:00,17:00-18:30,18:45-20:30,20:45+",+45 33750770,http://www.promenaden-tivoli.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summer,,,,,,,,,,,,,,,,,,,,,,,,
55.6718168,12.5576346,restaurant,tapas,113059,Mesón España,Mo-Sa 17:00-24:00,+45 33 31 19 04,https://www.mesonespana.dk,,,,,,yes,no,Meson Espana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6683,12.54556,school,,,Engskolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.67125,12.56044,bar,,115610,Spunk Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24214583,1006414760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6740948,12.5499759,bar,,119665,Falernum,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.66588,12.56596,restaurant,,119097,Sticks & Sushi Hotel Tivoli,Su-Th 10:00-23:00; Fr-Sa 10:00-24:00,+45 88329595,http://www.sushi.dk/restauranter/tivoli_hotel.html,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,lat missing in FVST,,,,,,,,,,,,,,,,,No grib by toilet. From Parking House via elevator to the top at Tivoli Hotel. (Find P between Tivoli Hotel and Hotel Wakeup. Max high for cars:2 m.,,,,,,,,,,,,,,,,,,,,,,,
55.6695262,12.5549211,restaurant,mexican,117538,Senorita,mo-th 12:00-23:00; fr-sa 12:00-02:00,+45 33 24 64 54,https://restaurantsenorita.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6721405,12.5623557,bar,,563102,Urban Bar,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6663582,12.5802158,restaurant,italian,654145,Il Buco,"""by appointment, when the light is on or the door is open""",,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6724145,12.5845011,restaurant,nordic,545106,No. 2,mo-fr 12:00-14:00; mo-sa 17:30-22:00,+45 33111168,https://nummer2.dk,,,,,,,,,,,https://www.facebook.com/no.2restaurantaoc/,yes,,yes,,,,120,yes,yes,,https://www.instagram.com/explore/locations/299158829/no2/,,,,,,,,wlan,,,,wrong location in FVST,,,,opening 6.6 this year at 6 pm.,,,,,,,,,the_plate_michelin,,,,,yes,Sibling of the gourmet restaurant AOC Opening hours are for kitchen,,,,,,,,,,,,,,,,,,,,,
55.6712966,12.5613942,restaurant,japanese,118877,Uki Bento,"Tu-Su 11:00-14:00,17:00-23:00",+45 88714646,http://uki.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6727533,12.5552978,restaurant,vietnamese,707159,Bonjour Vietnam,17:00-23:00,+45 53536797,https://www.bonjourvietnam.dk/,,,,,yes,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6706228,12.5602574,restaurant,thai,547661,Baan Thai Isarn,12:00-23:00,+45 33249854,http://baanthaiisarn.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6736846,12.5741057,restaurant,danish,555718,Restaurant Karla,11:30-22:00,+45 33127025,http://www.karla.nu/,,,,,,yes,,,,,https://www.facebook.com/Restaurant-Karla-740579682691047/,yes,yes,yes,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
55.671218,12.574053,restaurant,italian,566646,L'Enoteca di Mr. Brunello,tu-sa 18:00-24:00,+45 53860314,http://lenoteca.dk/,,,,,,,,,,,https://www.facebook.com/lenotecadimrbrunello/,,yes,yes,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,the_plate_michelin,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6728827,12.5744527,restaurant,buffet,560767,Restaurant Flammen København,"16:45-22:00; Th 16:45-22:30; Fr,Sa 16:45-23:00",+45 44 22 33 53,https://www.restaurant-flammen.dk/kobenhavn/,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6724308,12.549453,restaurant,japanese,112348,Restaurant Tokyo,Mo-Sa 17:00-23:00; Su off,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6708624,12.5584395,restaurant,burger,774499,Vesterbros Originale Burgerrestaurant,Mo-Su 12:00-22:00,+45 3311 3303,http://vb-burgers.dk,,,,,,yes,,,,,,,,,,,,,,,,,vb-burger@vb-burgers.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6715098,12.5913844,restaurant,,558979,Grillen Burger Bar,11:30-23:00,+45 35353569,https://www.grillenburgerbar.dk/,,,,,,,,GRILLEN CHR. HAVN,,Grillen Christianshavn,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6377277,12.5426159,restaurant,,1111020,Restaurant Mellemfortet,,,https://www.tuttenpm.dk/,,,,,,,,,,Tutten på Mellemfortet,,yes,no,,,,,,,,,,,,,,,,,,40929134,1025238679,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,,,,,,,,,,,,,,,,,,
55.6545145,12.5414039,restaurant,international,113827,Scandic Restaurant,"Mo-Fr 06:30-10:00,12:00-14:00,17:00-22:00; Sa 07:00-10:00,12:00-14:00,17:00-22:00; Su 07:00-10:00,17:00-22:00",,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
